Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19
108-MFCC.csv,6.5463567,6.69756,2.8922222,5.172744,5.4069777,3.2955549,7.2484612,7.3127613,7.1573896,5.8379025,3.7124987,6.286905,3.9521763,5.1883893,1.8825738,5.260089,5.1420503,4.0481935,6.26649
109-MFCC.csv,6.858634,7.303062,3.741552,5.4980493,5.4735484,2.4576392,8.9903145,6.882949,7.1100554,4.7145076,4.83561,7.48799,4.3410068,5.0294533,2.0264118,6.6156793,4.088048,4.9130793,7.131011
11-MFCC.csv,6.5149693,7.1563725,3.3995318,5.131681,5.482227,2.532047,8.600896,6.6907187,7.2055063,4.8326344,5.0187917,7.9548683,4.2878103,4.563778,2.0561533,6.425752,4.3709736,4.9383693,6.898527
110-MFCC.csv,6.2637196,7.083652,3.2826693,5.2853904,5.3547626,2.6964965,7.995883,6.8282156,6.777045,5.285325,4.590685,7.3895373,4.3661265,4.683194,2.3868244,6.3087835,4.2378535,4.812681,7.175662
111-MFCC.csv,5.3832407,7.246478,2.6129942,5.0057917,5.877126,3.9617858,6.4407873,6.991465,6.369921,5.8264136,3.4878833,5.7951674,3.737077,4.922527,2.4994833,5.667409,4.6152444,4.1661015,6.348135
112-MFCC.csv,6.6352305,6.875922,3.5510805,5.2621684,5.0977345,2.4889338,8.637201,6.56115,7.17644,5.0855937,5.397309,8.068881,4.440552,4.3090024,2.348906,6.75819,3.9776196,5.1548033,7.3557057
113-MFCC.csv,6.8174195,6.9507585,3.943955,5.3651156,5.017709,2.3511782,9.015793,6.7443366,7.1672277,5.152738,5.422322,8.004091,4.4774337,4.5384173,2.3108582,6.687143,4.113311,5.235035,7.2307324
114-MFCC.csv,6.917679,6.6741447,3.1158197,4.9823194,5.0925975,3.0396204,8.201329,7.0380425,7.4689374,5.276156,4.8551555,7.5031652,4.1935716,4.8169947,1.8807225,5.961352,4.8552985,4.613736,6.714629
115-MFCC.csv,6.1130943,7.201284,3.281847,5.4497523,5.54123,2.832566,7.846602,6.7036333,6.728952,5.2570558,4.4726806,7.1292877,4.2892456,4.669954,2.4261792,6.3788314,4.0824256,4.785782,7.0967097
116-MFCC.csv,6.017419,6.9873214,2.6169596,5.1132255,5.5902524,3.6720614,6.747546,7.177573,6.671804,5.9450264,3.5779927,6.098646,3.9653401,5.1642513,2.285457,5.4046755,4.991131,4.158862,6.240093
12-MFCC.csv,6.862894,7.058076,3.8010616,5.3735466,5.189133,2.3635786,9.237111,6.970488,7.135707,4.936242,5.1829853,7.776866,4.536822,4.8394847,2.1398754,6.624901,4.220258,5.07169,7.1795597
13-MFCC.csv,6.586143,6.960639,3.8693936,5.5443964,5.0412903,2.42862,8.759878,6.541059,7.04273,5.1944766,5.427689,8.021122,4.5563645,4.2538223,2.5358245,6.940034,3.7352335,5.272833,7.407851
