,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,Encoded_6,Encoded_7,Encoded_8,Encoded_9,Encoded_10,cluster
39,23-MFCC.csv,10.292053,-9.552957,-6.987617,9.890758,7.788764,-10.623079,-18.987743,10.254522,-7.3189006,11.679036,3
40,24-MFCC.csv,3.977019,-22.856407,-16.598108,-11.87885,11.69207,-2.9227223,16.790981,9.615026,-0.026511379,-13.032179,1
41,25-MFCC.csv,5.602671,-16.302126,-11.42643,9.847935,6.310684,-0.7733517,14.961209,12.469183,-6.277313,0.58450717,1
42,26-MFCC.csv,-10.490175,1.0007179,-10.673565,34.475403,-13.672874,-12.993446,14.328478,9.383396,9.678784,36.26892,4
43,27-MFCC.csv,11.306945,20.609892,-16.40565,24.46019,-34.79463,3.5816839,18.45187,-6.6039987,12.218379,11.668948,0
44,28-MFCC.csv,-13.0832615,-7.1946135,18.923096,22.732635,-3.0730922,-8.933265,4.5809803,16.377981,7.50072,19.417889,4
45,29-MFCC.csv,16.96502,2.3759484,-1.793909,29.75003,-15.612195,-8.836586,2.1852155,7.915666,18.279808,-0.17465493,3
46,30-MFCC.csv,-5.864155,-8.411589,-5.1511006,11.586051,5.743006,2.3407795,13.397934,11.361132,0.5939402,7.9006944,4
47,31-MFCC.csv,18.505518,-6.771261,19.861942,-3.2456863,-27.407137,5.7682924,11.093872,-31.363747,-5.1376724,15.0189705,3
48,32-MFCC.csv,18.967833,-21.272882,-23.6137,-5.0051026,17.937418,0.059757028,0.03932842,14.134075,-26.31767,-7.628706,3
49,33-MFCC.csv,16.589996,-26.625362,-12.579755,16.726715,16.215559,-7.0232515,-5.180598,-7.7724943,-14.318063,-14.601897,1
50,34-MFCC.csv,22.112982,-7.371272,-7.387152,-22.18556,-9.536523,3.9128003,20.731293,3.6640172,-12.887192,6.0485353,3
51,35-MFCC.csv,13.784055,8.772047,11.695385,14.845413,-17.883707,5.9366837,11.060884,-4.5545588,-5.24729,7.7508764,0
52,36-MFCC.csv,-2.3958673,-7.3365393,-11.446228,3.2135003,15.455413,-0.25529614,2.1231458,16.335222,-2.7575414,-1.7132465,4
53,37-MFCC.csv,1.5102382,-7.306818,4.6269627,7.4570613,3.7888913,11.085955,10.795372,7.4247694,-0.2226762,-2.50929,2
54,38-MFCC.csv,7.4791613,-11.289628,-18.253138,30.26085,6.3796825,-18.932035,-2.2156115,16.726267,-25.1082,5.2959156,1
55,39-MFCC.csv,4.7400303,-19.017403,-13.759089,23.317013,12.936721,-2.5119812,7.7046485,4.6523285,-15.586077,-2.0083828,1
56,40-MFCC.csv,2.7867348,-21.54211,-15.805505,-4.4639225,21.54113,-14.574706,-8.304692,7.4905,0.28259063,1.9589956,1
57,41-MFCC.csv,2.283867,-20.937414,-10.52877,16.267134,13.757754,2.3018935,9.406481,5.4981174,-16.479439,-9.69906,1
58,42-MFCC.csv,14.122227,-10.734277,9.192999,6.5600224,-4.6516485,1.2366874,4.86092,-4.4922185,-29.493681,4.8698983,3
59,43-MFCC.csv,-1.8653806,-14.255416,-2.5670786,21.11826,19.963799,-3.0042017,10.586713,-1.5866512,-7.9982333,2.639151,1
60,44-MFCC.csv,-7.276857,-17.183228,-3.7206628,-19.46607,15.797204,5.2238092,25.168684,5.0829825,-1.7332554,4.4845467,4
61,45-MFCC.csv,6.5705657,7.741094,9.26761,-8.474563,-15.75693,-0.4749602,15.896242,-8.104623,5.161308,13.200268,2
62,46-MFCC.csv,12.920712,2.1201518,-8.577142,10.472889,-2.6689386,0.7634221,13.23382,10.979845,17.783457,0.8981526,3
63,47-MFCC.csv,-13.062294,-17.033253,-6.3298416,5.3764434,10.217876,-3.1472423,12.891843,-1.35651,-0.36716485,9.2987995,4
64,48-MFCC.csv,7.1876802,-13.7941475,-3.2224066,9.789269,11.591487,1.1487346,8.485085,2.735497,-3.9739683,-14.57512,1
65,49-MFCC.csv,-1.310676,-14.643653,-8.247692,4.7006545,17.652504,-0.6340402,12.151319,9.468663,-10.731002,1.6227567,1
66,50-MFCC.csv,8.659589,-6.615214,9.287622,3.6395028,-18.768867,-13.925951,-6.470418,1.3712082,29.084711,3.5456269,3
67,51-MFCC.csv,14.480245,13.468164,-0.48528233,-6.093392,-31.03436,14.621432,13.239366,20.877125,25.184288,14.315836,0
68,52-MFCC.csv,-2.4130945,-17.622223,-18.380333,7.6424856,12.499999,5.2753224,9.609791,11.519403,-9.370871,12.467069,1
69,53-MFCC.csv,-3.0527923,-4.1398597,-4.510885,-4.435851,-1.251486,8.791701,26.898548,2.7377844,-8.973479,7.827608,4
70,54-MFCC.csv,2.5392277,-7.32531,0.5181634,7.3240743,8.8597555,6.608575,4.1076546,8.911741,-5.94742,-6.100501,2
71,55-MFCC.csv,7.253279,-6.015392,-7.2667036,8.801692,-7.7607803,17.448088,15.403779,3.1444838,-10.715106,-2.4233458,2
72,56-MFCC.csv,1.4462906,-21.19359,-13.804589,5.150578,19.635105,-3.9851449,-0.5347135,3.5589554,-15.97089,-4.87893,1
73,57-MFCC.csv,14.278394,-1.2924169,7.577205,1.6605177,-0.023099478,9.549875,11.897679,7.068869,-2.2808797,1.3257318,3
74,58-MFCC.csv,7.2532725,-2.593174,-6.920284,6.501238,3.5034266,5.789643,12.187779,1.6282523,-2.4511669,-9.085433,2
75,59-MFCC.csv,-2.278556,6.3305626,-11.517593,10.091768,-15.253154,12.429718,5.6322865,4.586178,36.08824,5.049887,2
76,60-MFCC.csv,-11.130265,-4.4501657,-13.719231,8.592178,12.534855,1.5301207,1.365376,15.519194,5.357252,7.781569,4
77,61-MFCC.csv,1.6013919,7.018045,2.3051775,17.67902,-17.387512,21.45883,23.041035,3.836639,3.107073,20.135052,2
78,62-MFCC.csv,2.8932452,-14.051457,-6.2657866,-6.3378844,12.405178,0.21133734,5.069245,2.768723,-19.536917,-3.4497263,1
79,63-MFCC.csv,0.79628956,6.298264,-10.177453,25.087154,-12.115181,1.7818232,10.857722,21.213593,16.268742,10.343872,2
80,64-MFCC.csv,-1.0849994,-12.13495,-6.3440504,17.596392,-1.0528423,-3.7893796,22.064276,-0.17801815,-8.967762,12.139739,1
81,65-MFCC.csv,15.439566,-3.8038719,-4.716266,15.761214,5.2303643,2.454934,-2.0723696,4.352201,-6.5688076,-8.127796,3
82,66-MFCC.csv,5.0448413,5.78543,6.475628,12.514779,-5.9954376,-20.337519,-11.375885,3.5506663,6.095907,10.1150055,2
