,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,cluster
39,23-MFCC.csv,8.658581,7.2912474,5.7240467,4.380174,5.2176733,4.332323,4.031141,5.169953,3.1768482,4.656589,6.2894473,4.4140315,5.3511143,6.4817305,4.931111,4.2486463,5
40,24-MFCC.csv,8.484683,7.210821,6.3262167,5.165421,5.438349,4.160292,3.406499,3.8859522,2.8426535,4.3371615,6.5468245,4.3858314,5.888574,6.125889,4.8476624,4.0443673,1
41,25-MFCC.csv,8.256889,7.0550027,6.13601,4.8300786,5.3297925,4.347264,3.8738856,4.7570324,3.023195,4.486614,6.6758356,4.3677197,5.8205757,5.9655523,4.8007183,3.8464546,1
42,26-MFCC.csv,8.030314,6.9934435,4.6247597,4.210495,5.5602813,4.870608,5.231308,7.0685854,3.4922316,5.137602,5.989977,4.0712337,3.9333906,6.6421566,5.1250577,4.677519,2
43,27-MFCC.csv,7.4505353,6.48817,4.8825407,5.394131,5.755465,4.5983725,4.9788637,6.4032474,2.7841253,5.310284,6.497931,4.088509,4.079902,6.032837,4.8223324,4.6683164,0
44,28-MFCC.csv,7.9445195,6.848897,4.682004,4.412087,5.44509,4.7608237,4.9347167,6.7173796,3.4429195,5.222437,5.90369,4.0592184,3.906255,6.3173566,4.8143535,4.7375584,2
45,29-MFCC.csv,7.948092,6.852111,4.515273,4.2345257,5.4635615,4.8696427,5.0524287,7.2240744,3.3510635,5.213008,6.0785713,4.108591,3.7058058,6.441772,5.1316853,4.764636,2
46,30-MFCC.csv,7.916343,6.939142,6.068617,5.1888475,5.376596,4.359994,3.9754171,4.8094068,3.045544,4.542683,6.5897408,4.1230884,5.4846334,5.789785,4.722388,3.887241,1
47,31-MFCC.csv,7.432109,6.56308,4.991656,5.555288,5.855931,4.6765337,4.5226455,5.7141347,2.6901584,4.9584117,6.4155784,4.0370398,4.2415423,5.9551525,4.877432,4.6005564,0
48,32-MFCC.csv,8.919109,7.4066224,6.5141764,4.877788,5.2056913,4.0087876,3.216617,3.614173,2.9278498,4.33444,6.5383406,4.5340505,6.281029,6.2039185,4.7790666,3.9840388,4
49,33-MFCC.csv,8.935273,7.5145926,6.6314473,4.792023,4.7925906,4.067752,2.980894,3.569941,3.011162,4.3006053,6.470255,4.7390842,6.386359,6.18249,4.6203218,4.066782,4
