Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
14-MFCC.csv,8.232664,5.5086718,4.9693117,4.1102066,8.012916,2.9608989,8.429865,5.7373557,4.9236193,6.2695227,4.191559,5.332252,3.8963792,8.776778,9.16466
15-MFCC.csv,7.685215,5.8715706,5.0552464,4.488511,8.121879,3.0885863,8.734625,5.7055216,4.820722,5.993544,4.076207,5.3466988,3.8811352,8.900121,9.150163
16-MFCC.csv,5.970447,6.3400416,5.241898,4.449423,8.526708,4.2710533,8.376569,4.651725,4.4325676,6.5435243,4.5873384,6.1477456,4.514912,8.093818,8.697061
17-MFCC.csv,5.915527,6.3553143,5.2675653,4.5629067,8.562543,4.294612,8.44895,4.666322,4.4656215,6.5277424,4.535666,6.2211056,4.4300523,8.163938,8.762773
18-MFCC.csv,5.900944,7.1696377,5.502133,5.442764,8.805037,5.1406837,9.381631,5.232224,4.739668,5.286122,4.486654,6.1632686,4.4488115,9.076677,8.911312
19-MFCC.csv,8.134901,5.673429,5.010899,4.396765,8.072064,2.6006062,8.74448,5.696028,4.953965,5.922851,3.9010036,4.9923244,3.5602455,8.927826,9.019885
20-MFCC.csv,7.6037307,5.519628,5.52053,3.970799,8.273064,2.623216,8.3264475,5.231702,5.0068316,6.267999,3.9205475,4.8610945,3.9045897,8.276698,8.873521
21-MFCC.csv,7.868524,5.63127,5.0758715,4.237293,8.12432,3.395101,8.448671,5.8004284,4.7968416,6.371214,4.2891526,5.491425,3.9687216,8.798995,9.361878
22-MFCC.csv,8.042917,5.7117534,5.0695443,4.2210574,8.129948,3.1885047,8.552426,5.772872,4.766276,6.262762,4.1204133,5.4224777,4.002834,8.829012,9.385513
23-MFCC.csv,7.257557,5.881356,4.7220573,4.948847,7.885438,3.2768853,9.030434,5.925071,4.8991017,5.7380643,4.3353605,5.3960547,3.7178547,9.317397,9.078938
24-MFCC.csv,7.915546,4.9791455,4.900318,4.3985586,7.8616357,2.3545678,8.39862,5.9997807,5.3100204,6.1251006,4.36227,4.900633,3.2591383,8.891202,8.878871
25-MFCC.csv,7.7645736,5.759263,4.9825554,4.5569844,8.103781,2.7059355,8.796555,5.688323,4.910434,5.877669,3.9901912,5.0285363,3.6028888,8.9448395,9.008698
26-MFCC.csv,5.900137,6.9543943,5.3572865,5.316267,8.703911,4.831915,9.28089,4.9917264,4.6360474,5.381971,4.353672,6.031376,4.4135685,9.090904,8.88696
27-MFCC.csv,6.1367097,6.4470844,5.404452,4.3893538,8.547459,4.266898,8.690471,4.666939,4.6972475,6.1369896,4.37484,5.852498,4.523304,8.324609,8.803786
28-MFCC.csv,6.0337167,6.971721,5.336348,5.2124805,8.616385,4.817774,9.231214,5.4517765,4.5900307,5.7114534,4.4070597,6.002957,4.4292917,8.92557,8.844159
29-MFCC.csv,5.8248878,6.9430237,5.386442,5.26876,8.761085,5.0183344,9.210026,4.9703016,4.7944016,5.4385786,4.5659137,6.0963545,4.463976,9.289489,8.810136
30-MFCC.csv,7.74583,5.7800756,5.218085,4.3366385,8.251588,2.775229,8.630508,5.5288844,4.858699,6.03838,3.930065,5.0549045,3.8400784,8.703699,9.0509405
31-MFCC.csv,6.545464,6.1504984,5.3354573,4.3088737,8.4425,3.7663007,8.407234,4.841139,4.6174407,6.404762,4.345948,5.6482406,4.3445535,8.123559,8.6718445
32-MFCC.csv,8.101332,4.862936,4.4739213,4.6196604,7.6016207,2.2909498,8.501626,6.3942637,5.2797484,6.1193733,4.501696,4.9440684,2.9555624,9.255498,9.006547
33-MFCC.csv,8.459013,4.996436,4.2727213,4.592075,7.4931765,2.2978094,8.691646,6.4690604,5.225911,6.0789714,4.359204,4.9100523,2.9341629,9.366168,9.192746
34-MFCC.csv,7.8883767,5.4817495,5.212034,3.8486724,8.006525,3.2715566,8.219561,5.5145674,4.830434,6.595665,4.2669697,5.443439,4.1156816,8.5025,9.31372
35-MFCC.csv,6.4616036,6.300637,5.3689,4.231391,8.538002,3.970798,8.477315,4.7965007,4.619813,6.4051266,4.3538218,5.855417,4.5217576,8.215298,8.886532
36-MFCC.csv,7.545509,5.6570425,5.028722,4.5433474,8.02136,3.139994,8.559527,5.846516,4.9475203,6.0997863,4.3215265,5.4437547,3.7263093,8.932276,9.0953045
37-MFCC.csv,7.760301,5.499491,5.236731,4.054814,7.9250903,3.0999694,8.253682,5.6077905,4.9618497,6.4163938,4.2602186,5.416441,3.8808856,8.589047,9.127902
38-MFCC.csv,8.701378,4.9488087,4.359795,4.31544,7.113697,1.9535772,8.500738,6.189428,5.3416047,6.0122237,4.2250547,5.116,3.2166543,9.142095,8.996314
39-MFCC.csv,8.629559,5.087688,4.588202,4.2335653,7.481789,2.102674,8.553009,6.133764,5.1888733,6.099061,4.0472183,4.9133406,3.218528,9.019666,9.143131
40-MFCC.csv,7.5527344,5.4925585,4.6727324,4.813898,7.879579,2.8807173,8.769662,6.08345,5.0309086,5.919388,4.4061565,5.248751,3.4596741,9.211501,9.045846
41-MFCC.csv,8.666059,4.998177,4.5943723,4.2243724,7.3875656,2.2091568,8.550116,6.249866,5.285629,6.1189337,4.11526,4.83741,3.1174808,9.086768,9.149639
42-MFCC.csv,8.342727,5.1333117,4.6389503,4.503591,7.5407453,2.4108927,8.624241,6.204457,5.239694,6.036583,4.282351,4.810263,2.933474,9.192123,8.951267
