,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,cluster
10,08-MFCC.csv,6.7246103,5.583158,5.2531123,5.0100007,6.586304,3.393471,8.266956,3.75358,5.801219,3.6973684,5.0531993,3.375504,5.310889,3.6012692,9.096629,5.613333,7.9225845,5.8453207,4
11,09-MFCC.csv,7.5601783,5.4793477,3.918648,5.34648,6.953175,3.6598434,7.398139,2.407743,5.4613,5.532278,4.1584597,3.339734,4.379724,3.323384,7.4241805,4.9323316,6.663155,5.159114,0
12,10-MFCC.csv,6.695058,5.078996,5.5305557,5.4651413,6.1861315,3.518738,8.406563,3.610767,5.1342015,3.9146328,5.191913,3.412212,5.601812,4.1335254,9.556469,4.9169536,7.9149227,5.8108034,1
13,100-MFCC.csv,7.641639,5.4931316,3.8250153,5.425458,7.01935,3.7298818,7.2799544,2.355087,5.503833,5.7911525,4.040193,3.4503272,4.4265366,3.2361774,7.226896,4.835147,6.6077743,5.167513,0
14,101-MFCC.csv,6.7018175,5.113261,4.738161,5.27858,6.415475,3.3808172,8.229359,2.9962015,5.4196057,4.551299,4.4993606,3.2549224,5.0040975,3.894938,8.758894,5.1656218,7.4127545,5.6257405,3
15,102-MFCC.csv,6.16971,4.7104654,5.391469,5.916797,5.8597393,3.4446802,8.494151,3.3775063,4.9121904,4.0634117,5.1116724,3.8869042,6.0601463,4.4458246,10.025952,4.442339,8.152856,6.0246153,5
16,103-MFCC.csv,6.6875944,5.67769,5.357674,5.028737,6.6176286,3.3867323,8.201624,4.20439,5.8257484,3.5435758,5.206648,3.452095,5.719829,3.5313137,9.176738,5.510106,8.032177,5.9546967,4
17,104-MFCC.csv,6.235954,4.967202,4.7242446,5.1819315,6.2008233,2.9777343,8.596775,3.517207,5.632482,4.3599086,4.601792,3.2790341,5.7064037,3.9290059,9.1683655,5.331113,7.7055874,5.937668,3
18,105-MFCC.csv,6.1480317,4.6580153,5.3246803,5.9311056,5.8377376,3.3761792,8.503807,3.3761272,4.864523,4.176984,5.1070104,3.8969114,6.18638,4.439744,10.018331,4.354882,8.128481,6.0379305,5
19,106-MFCC.csv,6.673529,5.0324593,5.031205,5.4048862,6.380843,3.4917138,8.044137,3.0007484,5.150414,4.5683293,4.4367533,3.3312318,5.3175483,4.028667,8.977804,4.8532133,7.3217373,5.7795815,3
20,107-MFCC.csv,7.4119167,5.5215664,4.3316503,4.8087564,6.606455,3.1454875,8.188296,2.5537698,5.808393,4.6607985,4.876089,3.2287087,4.195768,3.349931,7.765275,5.5655546,7.448826,5.0850163,2
21,108-MFCC.csv,7.4934907,5.5628853,4.302065,4.8111696,6.7018623,3.2574074,8.021858,2.5022864,5.742687,4.7637043,4.787468,3.2233214,4.151884,3.3446717,7.6739035,5.5476537,7.325823,5.0600643,2
22,109-MFCC.csv,6.423972,5.0352654,5.5637827,5.5865784,6.155677,3.6376984,8.463424,3.407142,5.20538,3.7558784,4.980369,3.538467,5.3098035,4.2345057,9.682225,4.9422073,7.979463,5.8901124,1
23,11-MFCC.csv,6.2535977,4.82998,4.981582,5.4812417,6.13028,3.2949815,8.584518,3.5234325,5.377972,4.192739,4.633452,3.4567547,5.5711875,4.207229,9.475973,5.0593276,7.811207,6.0271425,1
24,110-MFCC.csv,6.909307,5.020246,5.0358377,5.1263394,6.518612,3.3807254,8.052505,3.0247881,5.0907083,4.441896,4.6121116,3.2509472,5.3266706,3.886033,8.820497,4.8577037,7.3221807,5.59913,3
25,111-MFCC.csv,7.6418805,5.6050587,3.7739716,5.4628067,6.9942193,3.7680106,7.227069,2.5415707,5.3157883,5.8803325,4.1900134,3.3945348,4.431574,3.3208895,7.2522273,4.8634834,6.4799924,5.139283,0
26,112-MFCC.csv,6.043644,4.6664195,5.20107,5.8009787,5.895242,3.1095607,8.657922,3.4806025,5.066326,4.213856,4.9937134,3.7110457,6.1533127,4.358807,9.917275,4.5909815,8.091323,6.0741453,5
27,113-MFCC.csv,6.207243,4.873544,5.4615436,5.5988464,6.0548306,3.136637,8.554026,3.7061183,5.1310873,3.9847023,5.009278,3.6471395,6.1611147,4.141203,9.818353,4.6267962,7.994752,6.0814652,5
