,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,cluster
27,116-MFCC.csv,-17.624153,2.2765987,1.5453936,-10.426147,-11.920057,1
28,12-MFCC.csv,6.347767,-2.1884563,4.5075493,9.228863,0.18918955,0
29,13-MFCC.csv,4.5172024,-5.573236,0.59351385,6.471152,-3.9140894,0
30,14-MFCC.csv,-5.466345,-6.0322676,-3.5348933,1.1645707,-0.6789477,5
31,15-MFCC.csv,6.4627566,-2.875873,2.737694,1.8528181,2.4795492,0
32,16-MFCC.csv,-10.23482,-7.0763636,-10.160271,-19.728975,-10.228125,3
33,17-MFCC.csv,-10.391019,-7.4057755,-7.2836437,-17.030626,-7.25524,3
34,18-MFCC.csv,-4.288804,6.171189,1.2519373,2.5008004,12.813154,4
35,19-MFCC.csv,3.8475394,-5.4099045,1.1367923,3.993118,0.73970336,0
36,20-MFCC.csv,-4.722496,-7.049712,-8.073991,8.629924,7.3478847,5
37,21-MFCC.csv,1.8537799,-3.046859,-0.7503388,2.439679,0.88214886,0
38,22-MFCC.csv,2.6440856,-5.439558,-1.0952951,3.012971,1.5233502,0
39,23-MFCC.csv,1.4820175,4.88797,9.922719,2.9920244,-8.94725,2
40,24-MFCC.csv,-6.6695104,4.538001,-6.5991254,14.459683,-4.4032407,4
41,25-MFCC.csv,1.6605452,-2.6680014,2.2291498,3.3429608,-1.0681647,0
42,26-MFCC.csv,-5.531073,13.844139,-3.6932194,-1.9034196,6.4414296,4
43,27-MFCC.csv,1.7833396,-4.3496923,-0.28130028,-15.488569,4.780488,0
44,28-MFCC.csv,-5.780506,7.5292196,3.956838,0.5656833,5.755172,4
45,29-MFCC.csv,-8.902794,5.0280514,3.006149,-9.581814,4.188376,1
46,30-MFCC.csv,-1.1742264,-3.239621,1.507462,2.4425106,0.85933316,0
47,31-MFCC.csv,-1.4832869,-7.8427286,-26.33496,-13.505679,-2.3016386,5
48,32-MFCC.csv,6.0809426,1.2682718,1.8341291,8.6428385,-8.31613,2
49,33-MFCC.csv,6.643677,-3.3209982,0.7020682,6.1961045,-7.466065,0
50,34-MFCC.csv,9.179577,5.7199903,-9.5885725,7.4218636,2.8182948,2
