,Filename,Encoded_1,Encoded_2,cluster
96,80-MFCC.csv,-4.193072,9.057597,2
97,81-MFCC.csv,13.093965,21.4258,3
98,82-MFCC.csv,-3.6670904,6.272784,2
99,83-MFCC.csv,-5.6972933,8.804601,2
100,84-MFCC.csv,-11.390381,13.862936,2
101,85-MFCC.csv,-0.8326637,-13.788749,1
102,86-MFCC.csv,-11.52474,-11.308932,5
103,87-MFCC.csv,5.0444937,15.9961,0
104,88-MFCC.csv,-5.9180293,-8.224518,5
105,89-MFCC.csv,-6.419078,-16.699366,5
106,90-MFCC.csv,10.884323,21.933928,3
107,91-MFCC.csv,3.6630898,-10.188177,1
108,92-MFCC.csv,-1.212964,3.7560093,0
109,93-MFCC.csv,-10.161556,11.5079975,2
110,94-MFCC.csv,0.5992039,-2.062081,1
111,95-MFCC.csv,3.532568,12.76304,0
112,96-MFCC.csv,-9.556082,13.8721895,2
113,97-MFCC.csv,-13.163996,10.233136,2
114,98-MFCC.csv,-19.433514,-6.563905,5
115,99-MFCC.csv,8.485254,-18.405493,1
