,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,cluster
38,22-MFCC.csv,8.123979,5.522505,6.9233694,6.7867417,7.46795,2.353581,6.2604556,5.66134,3.9257174,6.133915,4.21935,6.0218725,2.570734,1.9781939,2.7307968,2.369748,5.140293,4.3442116,3
39,23-MFCC.csv,8.612549,5.6030335,6.387826,7.4653273,7.2285857,1.8781285,5.8784018,5.6853056,4.45987,6.464053,4.278976,5.707953,2.9635189,1.8742117,3.1435826,2.7640142,5.098467,4.7527504,5
40,24-MFCC.csv,8.661165,6.5396295,6.8040576,7.0569057,7.7452745,2.5305898,5.795905,5.138375,3.9779472,6.7515745,4.5707555,6.1203117,2.9685872,1.586194,2.545636,3.0156696,4.9655538,4.3829117,4
41,25-MFCC.csv,8.447962,5.98185,6.8194222,7.117668,7.6211047,2.1238234,5.887077,5.422223,3.813571,6.4487634,4.5709443,5.9072065,3.0719275,1.7905283,2.8311396,2.6072662,5.4436674,4.4679246,1
42,26-MFCC.csv,8.332175,4.474646,6.056341,7.810594,6.9556437,0.9108881,5.6645203,6.778387,4.6349764,5.913389,3.719611,4.729532,2.6655006,2.944782,4.623396,2.4103825,5.143689,4.9021316,2
43,27-MFCC.csv,7.7923675,5.041949,6.30739,7.2957754,7.254677,1.4692774,5.7665033,6.606108,3.9845731,5.906656,3.8357518,4.410859,2.6960244,3.053319,4.566245,2.1054826,5.0473514,4.33832,0
44,28-MFCC.csv,8.164025,4.350987,6.183428,7.8017,7.1348376,0.8486178,5.805436,6.676107,4.5691714,6.256397,3.4875374,4.590744,2.572016,2.7885542,4.5381265,2.4156384,5.164325,4.8674626,2
45,29-MFCC.csv,8.523897,4.4517183,5.987723,7.966765,6.9741607,0.6805923,5.6751666,6.6654277,4.841703,6.045248,3.6816175,4.746417,2.821136,2.8432763,4.6974344,2.4527614,5.0307107,4.950017,2
46,30-MFCC.csv,8.137516,5.874925,7.0499597,6.8731475,7.741292,2.0847628,5.935122,5.650241,3.623529,6.3298407,4.368761,5.843488,2.9463592,1.9308733,2.9555128,2.4410477,5.2987876,4.2604413,1
47,31-MFCC.csv,7.7117805,5.323449,6.493713,7.05727,7.464007,1.7139127,5.7582664,6.4650264,3.6970942,6.008468,3.9124503,4.499171,2.762864,2.9361064,4.3274555,2.1284754,5.0771437,4.1074443,0
48,32-MFCC.csv,8.762905,6.4670997,6.532011,7.0450015,7.4329443,2.6416247,5.729664,4.8707175,4.0433855,6.8740387,4.7471337,6.27818,3.0115907,1.3994507,2.2321584,3.2472913,4.9320307,4.4235835,4
49,33-MFCC.csv,8.718037,6.2833223,6.40634,6.9538045,7.0789223,2.79453,5.9404173,4.9739046,4.20664,6.9162083,4.6638784,6.3262143,2.8708375,1.3872553,2.0849264,3.2843056,4.896001,4.4215593,4
50,34-MFCC.csv,7.905717,5.692203,6.9933276,6.582529,7.704073,2.4992962,6.193553,5.9125137,3.9315913,6.1324544,4.035862,5.6812572,2.4190426,2.0678625,2.9668953,2.2769144,4.954756,4.128096,3
51,35-MFCC.csv,7.61514,5.2499676,6.3862147,7.1666965,7.2763605,1.7725528,5.776732,6.622255,3.7164133,6.0321293,3.8326132,4.4050293,2.554159,3.1551518,4.368841,2.0866952,5.145971,4.262119,0
52,36-MFCC.csv,8.3938,5.7620506,6.7728786,7.185934,7.5401835,2.140965,6.017002,5.6617365,4.3220572,6.4587064,4.13506,5.9216723,2.7607024,1.7769399,2.9538329,2.7055469,4.8882165,4.513832,5
53,37-MFCC.csv,8.06266,5.736721,6.9566903,6.7880077,7.6613503,2.4060888,6.151562,5.8683457,4.0837135,6.306342,4.0386024,5.7838573,2.5074382,1.9306234,2.9532328,2.4547327,4.9245896,4.246626,3
54,38-MFCC.csv,8.515237,6.4956965,6.400033,6.902688,6.9698777,2.976141,6.1501465,5.1561656,3.9961846,7.054946,4.752983,6.0391016,3.0223181,1.4409331,2.034423,3.2800238,5.177895,4.318193,4
55,39-MFCC.csv,8.485939,6.429762,6.610041,6.7996316,7.193618,2.8436162,6.038362,5.2551045,3.8472989,6.8856506,4.6203012,6.2003846,2.8685052,1.5664573,2.211526,3.1457567,4.996566,4.217321,4
56,40-MFCC.csv,8.648066,5.9575453,6.573267,7.3316092,7.3969984,2.1197295,5.869679,5.4093795,4.368042,6.617089,4.329762,5.9920187,2.9723194,1.6562308,2.833555,2.922735,4.9028745,4.6271276,5
57,41-MFCC.csv,8.516847,6.4544687,6.6648235,6.7383018,7.158061,3.0088966,6.1730733,5.192903,3.8380017,6.863528,4.64998,6.3559723,2.792376,1.584131,2.0621364,3.2283843,4.9619093,4.1839542,4
58,42-MFCC.csv,8.651902,6.3611336,6.6264844,6.9153814,7.416002,2.7183561,5.927912,5.1178355,4.031863,6.7866063,4.687118,6.2272015,2.894193,1.4393022,2.2670565,3.0190673,5.14597,4.3743043,4
59,43-MFCC.csv,8.359622,6.219692,6.678945,6.6876974,7.1899867,2.8945532,6.178792,5.465832,3.9112465,6.7479024,4.450406,6.206518,2.65326,1.678774,2.297384,3.0393949,4.9015217,4.156641,4
60,44-MFCC.csv,8.120817,6.7056236,7.217704,6.546502,8.275131,2.4953341,5.678754,5.7390237,3.400692,6.60953,4.4645157,5.5616374,2.9919605,1.8371308,3.052071,2.521251,5.2922387,3.9339364,1
61,45-MFCC.csv,7.803787,5.0688944,6.36724,7.152684,7.461545,1.4967679,5.66432,6.5650096,3.72164,5.9632807,3.8441567,4.442786,2.7933986,3.0001228,4.406101,2.145318,5.1151834,4.1101794,0
62,46-MFCC.csv,8.401234,4.5848155,6.2689333,7.8031206,7.1166935,0.8326197,5.768644,6.516741,4.679424,6.270152,3.663801,4.8739963,2.6708548,2.8118513,4.564564,2.6045187,5.0575843,5.0044785,2
63,47-MFCC.csv,8.196057,6.3452764,7.039725,6.8116894,7.7153134,2.3109806,5.869074,5.475805,3.4969964,6.621088,4.522742,5.889834,3.149854,1.772742,2.701541,2.695003,5.2939253,4.149448,1
64,48-MFCC.csv,8.292972,5.927699,6.7099767,6.908126,7.361335,2.6392808,6.1982,5.5948977,4.2389627,6.5644073,4.2079463,5.944222,2.5804853,1.7773695,2.5988476,2.7951524,4.896037,4.340316,3
65,49-MFCC.csv,8.423904,6.466623,6.9034266,6.7757897,7.635803,2.6410124,5.94881,5.3899746,3.6790295,6.704747,4.587653,6.0989585,2.908571,1.6838652,2.5281675,2.874028,5.1701884,4.1664953,1
66,50-MFCC.csv,8.200505,4.486453,6.134874,7.763277,7.114361,0.9727382,5.779122,6.6202803,4.516012,6.1755643,3.5656855,4.60148,2.7187812,2.7319932,4.4483275,2.3404326,5.1765523,4.760065,2
67,51-MFCC.csv,8.388121,4.217238,6.0364566,7.9147916,6.956882,0.5958196,5.582974,6.815519,4.7567644,6.1100883,3.582586,4.694217,2.533618,3.0149937,4.889507,2.6025674,4.954483,5.0146832,2
68,52-MFCC.csv,8.396653,6.0896993,7.0294228,6.8529034,7.6673064,2.2850263,5.9397707,5.2680326,3.553162,6.3718896,4.577446,6.24066,2.9918756,1.8161088,2.5861645,2.6156068,5.2448525,4.2894135,1
69,53-MFCC.csv,7.9172034,6.145001,7.1375823,6.5579705,8.022917,2.3888354,5.8897367,5.941269,3.561289,6.3381257,4.2172823,5.493495,2.7559092,2.0385265,3.162616,2.357325,5.161926,3.9760203,1
70,54-MFCC.csv,8.258854,5.6294575,6.85667,6.8956413,7.5411654,2.3489394,6.1683793,5.769028,4.1146727,6.3348303,4.2008104,5.9847503,2.5360088,1.8309652,2.8496902,2.4380612,5.178422,4.410644,3
