,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,cluster
31,15-MFCC.csv,6.40878,5.190756,5.91461,7.812204,4.4251027,3.694534,6.994811,8.31803,7.596238,4.0122895,5.008744,4.7802234,4.5433702,5.368912,1.8879538,7.0562577,6.5615573,5.9475665,5.0141063,6.4503717,2
32,16-MFCC.csv,5.450498,5.498166,4.5434456,6.559917,4.6223645,3.8373616,6.5317473,7.3883767,7.024449,4.670128,5.7386627,5.277813,3.640567,4.679474,1.6701392,6.104996,6.6672606,6.775457,5.2319136,5.827419,0
33,17-MFCC.csv,5.524064,5.5126,4.642447,6.6357436,4.5396194,3.7995043,6.4484067,7.4526753,7.0196843,4.637332,5.696583,5.188992,3.7298045,4.662544,1.7500749,6.0974026,6.6322193,6.843469,5.2188563,5.7965064,0
34,18-MFCC.csv,5.8403497,5.1316214,4.809063,7.435388,4.6755114,3.884841,5.8499484,7.140479,6.199255,4.81656,4.8581166,5.2091002,3.9589071,4.9282002,2.1329145,6.773122,6.8719125,7.2440457,5.8806076,6.01684,3
35,19-MFCC.csv,6.643135,5.01468,6.29208,7.943729,4.3611803,3.4077437,7.1919146,8.613544,8.080634,4.243416,5.03132,4.806178,4.632413,5.6880784,1.951373,7.231984,6.6477857,5.5392246,4.7552114,6.399635,1
36,20-MFCC.csv,6.625875,5.505511,6.1549964,7.739928,4.501854,3.586121,7.3200865,8.583088,7.985389,4.4172425,5.804128,5.067904,4.030259,5.6199102,1.3708924,7.1994867,6.7314763,5.4075828,4.4753036,6.286234,4
37,21-MFCC.csv,6.3006644,5.13329,5.7447205,7.6838593,4.4098573,3.8062778,7.0956764,8.258888,7.5380406,3.8646953,5.129007,4.852682,4.6347547,5.0143347,1.7960252,6.8702645,6.595757,6.0346637,5.032627,6.42708,2
38,22-MFCC.csv,6.3754,5.0545025,5.959406,7.8132343,4.3955274,3.5233905,7.223783,8.357204,7.752561,3.9306936,5.0816364,4.7335143,4.640768,5.2896123,1.7844641,6.995256,6.509476,5.973816,4.9623804,6.5372434,2
39,23-MFCC.csv,6.4495826,5.142478,5.90504,7.7988014,4.489363,3.7283664,6.4573817,8.220701,7.2665296,4.325127,4.7367554,4.955095,4.4133186,5.3602467,2.3070343,7.2134385,6.8395114,6.016209,5.3605676,6.115002,2
40,24-MFCC.csv,6.969881,5.210245,6.520283,8.102335,4.3168426,3.935894,7.245004,8.930735,7.9160595,3.8452127,5.0936804,4.7708516,4.6834855,5.607871,1.9148172,7.407158,7.041304,4.897305,4.611459,6.308272,5
41,25-MFCC.csv,6.6562457,5.1063175,6.224532,7.9248734,4.380601,3.5529506,6.9842257,8.53442,7.903284,4.230584,4.8884683,4.803455,4.5434093,5.7900357,2.0617132,7.311431,6.561404,5.5126457,4.823374,6.33211,1
42,26-MFCC.csv,5.852698,5.0239043,4.756587,7.228485,4.6990976,3.5041075,5.7839136,7.171028,6.408425,4.8011637,4.9050746,5.2229643,3.6236663,5.013421,2.106304,6.7013884,7.080095,7.3211803,6.075749,6.026617,3
43,27-MFCC.csv,5.468902,5.4336534,4.474225,6.6865654,4.702394,3.987399,6.51141,7.2696733,7.0496364,4.7337565,5.419008,5.3445473,3.7191844,4.896244,1.907108,6.3297076,6.3521357,6.767581,4.8829656,5.9014297,0
44,28-MFCC.csv,5.803875,5.198809,4.9994855,7.2661786,4.549014,3.6319938,5.875338,7.5097547,6.553253,4.701847,5.0265646,5.0983214,3.8467977,4.864844,2.0961714,6.594518,6.992714,7.1969247,5.983638,5.943918,3
45,29-MFCC.csv,5.6791973,5.199658,4.8064146,7.039567,4.735676,3.6523786,5.700909,7.2409286,6.2845726,4.8165884,5.003829,5.3177266,3.6283448,4.873183,2.1536684,6.615299,6.82687,7.322322,5.8764596,5.838524,3
46,30-MFCC.csv,6.513838,5.142642,6.072655,7.8002186,4.4184065,3.4740953,7.084629,8.434258,7.882819,4.3222284,5.226124,4.9084134,4.4027343,5.593728,1.7997524,7.1443515,6.583087,5.73467,4.8130603,6.364234,1
47,31-MFCC.csv,5.6630425,5.5089645,4.8310513,6.843848,4.57791,3.8759265,6.7952437,7.573465,7.2950273,4.5839586,5.63617,5.2033834,3.809231,4.901531,1.691328,6.349193,6.4803963,6.501407,4.899773,5.961996,0
48,32-MFCC.csv,7.1251054,5.0018344,6.708483,8.275082,4.167651,4.12509,7.1254473,9.139172,7.9137297,3.623643,4.660286,4.757148,5.1285143,5.3652124,2.3043396,7.4371867,7.2554483,4.59884,4.7074413,6.258707,5
