Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40
11-MFCC.csv,8.211498,4.9018803,5.559385,7.0164194,6.833713,4.0805793,5.102816,6.341101,6.5486393,6.1711454,3.4079335,6.0024843,5.6627045,4.781156,3.266883,3.7975614,5.0129976,6.1301084,5.8793664,5.1096706,5.9440856,4.966714,3.6653464,5.03362,5.9158316,3.8726094,3.9567776,5.976305,4.2421074,3.559592,4.842293,5.0468063,2.264536,3.1522148,3.7335975,5.2377214,5.6529775,5.159276,6.212677,4.148119
110-MFCC.csv,7.9175773,4.776926,5.482831,6.7576222,7.0077424,3.9654965,5.128344,6.5249615,6.5493693,6.1208076,3.3239317,6.0340395,5.5832405,4.9536557,3.3331265,3.7877197,4.8048406,6.251957,5.762927,5.032757,5.8823543,5.1360397,3.4829042,4.660206,6.1690435,3.277472,4.3377438,5.778178,4.46166,4.2078857,5.0138655,5.4643064,2.1074188,3.2280009,3.4464173,5.1181664,5.6236525,5.0906134,6.0900474,4.4132085
111-MFCC.csv,6.7149878,4.6726885,5.6032114,6.3437905,7.4630218,3.6111867,4.910039,6.216166,6.45391,6.5193205,3.3180692,6.8140507,5.462863,5.1614413,2.6165383,4.191698,4.4845686,5.916537,5.939942,4.988052,5.14505,5.2817683,3.5731838,3.6625872,6.5219417,1.8865143,4.8597393,5.3860383,4.4496913,4.977868,4.6614313,5.9715347,1.5845944,3.4228146,3.551988,4.7605414,5.684401,5.1220193,5.636162,4.863224
112-MFCC.csv,8.392924,4.766111,5.453598,6.957948,6.784348,4.1109543,5.371413,6.237441,6.3285766,6.0651884,3.5282614,5.7529798,5.996761,4.802802,3.2948647,3.592693,5.1673026,6.1839213,5.7766595,4.944977,5.9125814,5.1400967,3.8141198,5.463826,5.721357,4.4659767,3.9366472,5.990362,4.1633067,3.2549,4.818478,4.954985,2.134552,3.2197907,3.4475904,5.3704624,5.5036364,4.999893,6.20625,4.0953984
113-MFCC.csv,8.474099,4.8068914,5.404505,6.969156,6.76098,4.15158,5.3659887,6.5006156,6.4265976,5.9615455,3.477144,5.7024403,5.8298354,4.7366056,3.5303197,3.5023255,5.126844,6.3053617,5.7809725,4.928665,6.034703,5.1378965,3.6464095,5.3940535,5.854524,4.2823896,4.034041,5.967684,4.326076,3.4038157,4.965067,5.0569305,2.2359793,3.0847433,3.4076765,5.3265657,5.5999556,5.012686,6.2749505,4.0812845
114-MFCC.csv,7.3196263,5.0205936,5.3923044,6.948604,6.905218,4.262767,5.099369,6.3850284,6.4131355,6.06777,3.6537318,6.4412003,5.190516,4.678874,3.3076935,3.6859143,4.91403,6.1886225,6.156077,5.2828655,5.6350536,4.957744,3.852291,4.623018,5.8831835,3.4108398,4.081674,5.859325,4.483269,3.6558754,4.753453,5.143031,2.5832622,3.077569,3.9777875,5.2623115,5.878849,5.687278,6.1419616,4.3664875
115-MFCC.csv,7.9793916,4.687916,5.49275,6.6980886,7.0579367,3.8786638,5.1384163,6.464009,6.5320954,6.172253,3.294503,6.019916,5.751477,5.017449,3.2219863,3.8151934,4.8139834,6.2764106,5.728304,4.964924,5.819858,5.222092,3.5112958,4.673382,6.178946,3.3296242,4.3408566,5.758648,4.3806214,4.1742234,4.9553833,5.478003,1.9873533,3.2672427,3.3444972,5.098542,5.6078215,4.9699864,6.046846,4.4474616
116-MFCC.csv,6.8317266,4.7209435,5.470985,6.570953,7.31663,3.84675,4.874693,6.2387276,6.509534,6.321562,3.5350347,6.9139166,5.2971087,5.005684,2.7515192,3.9923794,4.644381,6.071599,6.0928283,5.239108,5.140905,5.1399827,3.7936165,3.8182003,6.225223,2.278509,4.6308193,5.64368,4.468314,4.605848,4.593474,5.769185,1.848279,3.2017999,3.829224,4.9376273,5.6352167,5.464874,5.8912535,4.700462
12-MFCC.csv,8.412227,4.9401574,5.369705,7.045825,6.7357173,4.2262588,5.271177,6.530069,6.4462647,5.988603,3.5291817,5.782016,5.593996,4.6416717,3.643159,3.5446153,5.1428866,6.13873,5.774099,5.044729,6.0888753,4.9140353,3.5720136,5.2719555,5.9311733,4.002015,4.1836047,5.9642367,4.4547253,3.682637,5.097262,5.169804,2.229239,2.9947865,3.5585947,5.355939,5.4955406,5.099628,6.283405,4.037747
13-MFCC.csv,8.6511345,4.680031,5.4549894,6.9025717,6.815433,4.0172668,5.417592,6.297232,6.361937,6.0561743,3.4682586,5.6327634,6.1286798,4.8506417,3.3242412,3.5688078,5.1710987,6.23448,5.681934,4.850222,5.990288,5.219141,3.7358334,5.520473,5.776048,4.499609,4.0177984,5.9553103,4.1591606,3.3418465,4.8903737,5.023122,2.0018291,3.2034328,3.2786083,5.355064,5.4574556,4.816083,6.195351,4.0890923
