,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100,cluster
10,100-MFCC.csv,6.8855505,4.2185674,3.3390753,3.8798964,4.469603,4.637983,5.372711,3.801402,4.4677362,6.512731,5.441248,4.71585,4.3081193,4.377336,4.151404,5.031528,4.6128697,3.1113486,4.900365,5.363352,7.079695,5.2014503,6.1435547,5.356915,6.0195303,4.7282176,5.2502165,5.877919,5.2937665,6.115499,5.240198,4.7827682,4.3070354,7.145941,5.166028,4.1657114,5.1544824,4.652801,4.0008864,4.346185,4.721303,5.0938683,4.8312626,5.9708953,5.7562323,5.408615,4.701788,6.4866476,5.07621,5.20898,5.309263,5.2838087,3.8081827,6.402388,3.6997097,5.3055506,4.411015,5.059073,4.8579006,2.9357576,4.5751705,3.4926906,5.182046,4.0722094,4.8419867,3.9928672,4.8755484,5.688332,4.689595,5.446187,4.0634446,4.600545,4.6392813,4.372935,4.8047357,5.537431,4.8353953,5.4953604,5.772364,5.505096,5.485112,5.1745834,5.7267857,4.273217,4.852804,4.338631,3.9664228,4.178816,5.347444,4.4315715,4.2562623,5.6588764,5.220874,5.7901626,5.5660124,4.9870095,5.42567,4.32235,5.790074,5.1836376,3
11,101-MFCC.csv,7.220435,4.973918,3.3853993,3.9428554,4.164055,4.4744873,5.0879893,3.8115275,4.484373,6.3545504,5.094314,5.1647787,4.3137064,4.6515317,4.103291,5.1725583,5.049765,3.1079173,4.7450266,5.4698563,7.183478,5.379625,6.1266203,5.4682584,6.2779603,4.308678,4.575796,5.9123545,4.7263474,6.387957,5.3091717,4.6633835,4.437386,7.068785,5.118716,4.4049115,5.3435297,4.6613417,4.0043507,4.1584396,4.438845,5.092748,5.150232,5.926646,5.771867,5.456513,4.658363,6.7164946,5.0755587,4.9807363,5.2293034,5.2437515,3.819401,6.3781424,3.5886993,5.294897,4.5670605,5.233989,4.843609,2.9256861,4.344633,3.6020916,4.992672,4.2851896,5.568733,4.076233,4.699005,5.5986834,4.7226405,5.403258,4.1047087,4.7064376,4.7227044,4.498169,4.8940673,5.501184,4.757191,5.554663,5.756277,5.4912095,5.4633226,5.3045244,6.318785,4.9003286,4.8730235,4.3879156,3.791681,3.7286832,5.414257,4.3815846,4.2352905,5.643529,5.9981923,5.945124,5.4980955,4.981974,5.450468,3.7757173,5.7640676,5.0008397,2
12,102-MFCC.csv,7.8522425,5.769857,3.286909,4.076874,4.0304356,4.2244434,4.8192887,3.6645737,4.485809,6.3041053,4.705519,5.670389,4.4815454,4.7701783,4.0833335,5.4007444,5.452992,2.9787872,4.5363865,5.7266073,7.361395,5.654844,6.0415626,5.838795,6.2439384,3.654063,3.963685,5.923724,4.34471,6.5968227,5.331105,4.578795,4.5574417,7.028861,5.1127095,4.471735,5.5451713,4.871795,4.125459,4.3091903,4.443956,4.9856606,5.7221813,5.756539,5.8357306,5.482136,4.7906613,6.907362,5.0537295,4.625662,4.9849014,5.1772313,3.9197068,6.519519,3.2023504,5.3255453,4.9517465,5.705518,4.6140723,2.816437,3.7978764,3.720503,4.6354914,4.5834336,6.20397,4.1831164,4.42651,5.4374275,4.7816353,5.1601205,4.326598,4.7853594,4.833671,4.759992,5.0901237,5.2765546,4.5528555,5.770142,5.619241,5.5385413,5.4944215,5.5733075,7.01474,5.448254,4.8655334,4.540426,3.3477173,3.250393,5.5511374,4.3394866,4.3575854,5.677581,6.9432015,6.229765,5.347825,4.7963166,5.4915857,3.3740802,5.8801656,4.645942,5
13,103-MFCC.csv,7.4205384,5.425813,3.5908022,3.9894576,3.976893,4.4700255,4.890346,3.857033,4.350883,5.9116907,4.809004,5.051359,4.270835,5.1378474,4.0609717,5.235539,5.5753064,3.1549046,4.6895423,5.4771047,7.2109036,5.54202,6.1549892,5.3257785,6.6220984,3.980583,4.1689916,5.984226,4.2450523,6.7479844,5.5132575,4.5457234,4.49989,6.980916,4.8841677,4.6913314,5.3703375,4.6077657,4.066548,3.6950533,4.3152833,5.1975794,5.310348,5.9305944,5.701887,5.533906,4.588622,6.902824,5.1316304,4.5416784,5.2256117,5.3709946,3.6731524,6.273558,3.6549966,5.2228246,4.517477,5.1874676,4.9047923,2.9982717,4.597951,3.6267722,4.8702393,4.4619193,6.031413,3.9499564,4.732622,5.6559725,4.6174126,5.6817803,4.033244,4.9177403,4.7588816,4.395078,4.947919,5.6426315,4.7480187,5.538052,5.915876,5.462832,5.4918437,5.274671,6.690046,5.2487526,4.9331007,4.358012,3.877477,3.4832442,5.4893847,4.4847903,4.100653,5.651736,6.631522,6.0392,5.5207787,5.0664406,5.3109217,3.388125,5.6110387,4.964298,4
14,104-MFCC.csv,7.325424,5.4505663,3.3618205,4.086006,4.0636897,4.3797817,4.871514,3.9206076,4.3411584,6.40987,4.9312735,5.5406237,4.4026546,4.568499,4.068874,5.2062297,5.1689954,3.1344364,4.5702605,5.569163,7.3024535,5.6018906,6.066413,5.4375772,6.471975,4.14169,4.1482396,5.992779,4.591645,6.604025,5.1741953,4.490543,4.490634,7.2908225,5.232353,4.534299,5.5152335,4.639186,3.9709501,4.0441837,4.248904,5.125913,5.1195374,6.091842,5.7024775,5.3298373,4.550714,6.7666497,5.0461307,5.0257664,5.3540497,5.121636,3.8755379,6.2385283,3.6164212,5.361867,4.5906687,5.2097907,4.903475,3.0600092,4.110961,3.813609,4.9101825,4.353557,5.8618007,4.2608323,4.50146,5.4281654,4.778774,5.327475,4.128857,4.7927704,4.8796163,4.574224,5.135302,5.435267,4.775314,5.609315,5.7026253,5.476871,5.2454944,5.4517913,6.5425982,5.213867,4.9432793,4.473273,3.6683824,3.5629933,5.4187346,4.22133,4.211502,5.5340414,6.5112686,5.96329,5.4482207,5.1391845,5.4887958,3.3655453,5.712263,4.844963,1
15,105-MFCC.csv,7.839625,5.7042947,3.281482,4.088406,4.0203633,4.214123,4.8165636,3.684234,4.4575553,6.330688,4.72426,5.746016,4.4912558,4.7335396,4.0815606,5.391937,5.4019384,2.9998066,4.531276,5.721318,7.3492026,5.676905,6.028983,5.848263,6.234916,3.6629937,3.93706,5.91584,4.3546953,6.571306,5.2877874,4.575292,4.5433416,7.048248,5.127277,4.4851604,5.5473137,4.8716073,4.131316,4.325131,4.4275966,4.976448,5.6874757,5.776843,5.8101354,5.427613,4.788629,6.883054,5.047501,4.6708555,5.001778,5.1620884,3.9516516,6.504749,3.220394,5.3199344,4.9474816,5.6867547,4.6108403,2.812329,3.7393246,3.7253876,4.6323714,4.5769725,6.2129736,4.2080617,4.41363,5.410721,4.7865343,5.1159096,4.356491,4.7585473,4.8349047,4.775909,5.0958276,5.253698,4.5489063,5.782191,5.6046596,5.528368,5.4665747,5.573391,7.004888,5.4652996,4.8785467,4.548697,3.3283575,3.235155,5.560724,4.320007,4.352177,5.668204,6.937129,6.2094054,5.341648,4.810701,5.5073757,3.3490818,5.8870826,4.6384735,5
16,106-MFCC.csv,7.356838,5.1309814,3.3428962,3.9292755,4.112602,4.3838563,5.0601597,3.7146242,4.5982604,6.40026,5.0147333,5.273237,4.338456,4.643191,4.128831,5.216845,5.0871067,3.0451336,4.712973,5.5226045,7.232879,5.3560824,6.0955033,5.6344028,6.2241592,4.212674,4.4326344,5.878411,4.6239076,6.36467,5.343044,4.692678,4.468469,7.0626416,5.1660895,4.3694534,5.3954325,4.721604,4.0324225,4.255461,4.45408,5.0333686,5.3622203,5.8534846,5.871278,5.532688,4.720856,6.7587004,5.051379,4.92188,5.137133,5.213434,3.8817902,6.478335,3.4358957,5.31781,4.716113,5.4092464,4.770298,2.833403,4.2074127,3.5773566,4.935396,4.3311577,5.7242517,4.1135354,4.6243033,5.575612,4.798935,5.3228216,4.1535816,4.665815,4.714502,4.6032577,4.886115,5.432325,4.7071714,5.6100435,5.695467,5.497783,5.500888,5.365649,6.473343,4.991397,4.831566,4.4117436,3.679621,3.6304078,5.4319043,4.359189,4.3061237,5.6849117,6.0725603,6.0111275,5.4413447,4.8846183,5.5026746,3.6912432,5.840568,4.9388485,2
17,107-MFCC.csv,7.0194826,4.448494,3.4152057,4.1384077,4.1431656,4.526186,5.092489,3.975745,4.2894063,6.0817995,5.1594005,4.853422,4.30589,4.808473,4.0890336,5.07424,5.2864523,3.3332183,4.7558637,5.4075017,7.102977,5.4492726,6.078121,5.1714487,6.3035593,4.4283996,4.9539413,5.9048448,4.930119,6.4421353,5.2674236,4.5756598,4.298218,7.128789,4.8959994,4.533482,5.2170897,4.649569,4.043417,3.8703423,4.4305153,5.180175,4.82426,6.130455,5.5856423,5.3420625,4.5344124,6.6525598,5.30739,5.0442615,5.343877,5.328502,3.796207,6.1357236,3.860179,5.2460785,4.292474,4.9671526,4.987529,3.037397,4.7484455,3.5555992,5.0232573,4.2048597,5.314871,4.025893,4.811978,5.5974994,4.627964,5.6269355,4.096955,4.7291055,4.7284117,4.3162527,4.9081516,5.6038623,4.8519273,5.518348,5.9699073,5.331821,5.353342,5.1242757,6.1491528,4.656951,4.9956155,4.349476,4.012287,3.7494922,5.4842505,4.4106894,3.9443836,5.5789886,5.70158,5.7893343,5.5749197,5.2017183,5.323631,3.8591983,5.5743,5.0836005,0
18,108-MFCC.csv,6.9836926,4.2954717,3.4142444,4.127474,4.1592236,4.549349,5.134726,3.9922316,4.295861,6.0660853,5.2121863,4.8033156,4.304572,4.810637,4.0981574,5.0492163,5.271258,3.343159,4.7720523,5.3814387,7.088056,5.41078,6.076122,5.1477294,6.2755313,4.465986,5.075712,5.9036355,5.0009317,6.417278,5.2635164,4.5855484,4.274521,7.124274,4.8771257,4.5041056,5.1761017,4.638725,4.03283,3.8683507,4.4474683,5.187147,4.7800207,6.1406684,5.5842266,5.358372,4.538702,6.629888,5.3182883,5.0639825,5.355209,5.3458996,3.7884874,6.128209,3.8873146,5.2389674,4.2553377,4.93332,5.004603,3.0320432,4.7950196,3.5221064,5.044134,4.181624,5.2141542,3.9994552,4.847729,5.614737,4.609437,5.648001,4.085546,4.721869,4.7111936,4.289121,4.884928,5.6239815,4.8616796,5.512707,5.9946513,5.3193436,5.3641453,5.0858407,6.094048,4.5868697,5.000482,4.3336506,4.056562,3.7995856,5.4909315,4.428811,3.9270365,5.5841346,5.631435,5.7683344,5.5875883,5.2108116,5.312615,3.9056447,5.5615783,5.1173253,0
19,109-MFCC.csv,7.6412005,5.705083,3.4451387,3.9460053,3.9916089,4.3476152,4.899615,3.6818085,4.578959,6.150032,4.76354,5.277672,4.3413997,4.990408,4.104108,5.317046,5.5046406,2.992496,4.642347,5.584698,7.308563,5.465077,6.115206,5.646826,6.408002,3.870405,4.065703,5.9403815,4.2563477,6.6426373,5.521538,4.6184187,4.553766,6.975067,5.0400524,4.4974966,5.451115,4.728422,4.0722995,4.056513,4.395535,5.0780087,5.6273665,5.7729897,5.895288,5.668259,4.7279735,6.9364033,5.054106,4.5316787,5.05846,5.2918315,3.7733867,6.488774,3.3551047,5.2898355,4.784237,5.519922,4.7496767,2.8467555,4.260125,3.6047535,4.787871,4.5146656,6.1469226,4.0235124,4.6008377,5.6122627,4.7398,5.472237,4.1204414,4.842912,4.754534,4.589582,4.949309,5.4918137,4.6509047,5.63677,5.7629776,5.5207515,5.5702696,5.4149976,6.853801,5.330754,4.8399467,4.4172277,3.645662,3.419425,5.4918046,4.4395595,4.289965,5.7158284,6.718975,6.1675534,5.4264817,4.855349,5.4182887,3.391407,5.7814307,4.848272,2
