Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18
asha_bhosle_6-MFCC.csv,7.1369677,7.7478776,5.2983637,9.992114,6.6298227,11.6155405,0.057447765,7.337925,2.1472404,6.2320304,6.5573835,4.7171516,7.775729,2.8611574,7.149583,10.892831,4.4545918,-2.8227296
asha_bhosle_7-MFCC.csv,7.1121373,7.770622,5.4675307,10.208969,6.5435247,11.420833,0.023178957,7.4944983,2.3018172,6.308976,6.4375362,4.430969,7.6867285,2.5170445,7.5041914,10.803839,4.54984,-2.7168746
asha_bhosle_8-MFCC.csv,7.195149,7.7874017,5.04029,10.015889,6.882283,11.900148,0.10018712,7.6279707,2.3658264,6.2237515,6.837279,4.8918734,7.7538795,3.2280543,7.1317973,10.841771,4.642566,-2.908671
asha_bhosle_9-MFCC.csv,7.250122,8.030749,5.162204,10.350082,6.6079273,11.380503,0.04287006,7.7362094,2.5048454,6.4354153,6.58326,4.5407777,7.7322617,2.569453,7.6421504,10.924724,4.7694016,-2.8385558
kishore_kumar_1-MFCC.csv,6.692591,7.514837,6.4265485,10.360269,5.691175,11.146388,0.09471634,7.2943916,2.0874476,6.3237443,5.5718603,3.99893,7.419223,1.8749349,7.265856,10.640106,4.0562253,-2.1947336
kishore_kumar_10-MFCC.csv,6.607557,7.341324,6.554486,10.141318,5.617541,11.234138,0.1835412,7.3021474,2.1180198,6.2943864,5.674831,4.1097536,7.254896,2.005251,7.0342417,10.606461,4.149928,-2.0687294
kishore_kumar_11-MFCC.csv,6.4985733,7.6177163,6.667429,10.563814,5.5603867,11.066746,0.2681574,7.432481,2.1058125,6.54471,5.452605,3.9256508,7.3726225,1.7550491,7.217626,10.419974,3.9688184,-1.9314548
kishore_kumar_12-MFCC.csv,6.874354,7.743092,6.1433063,10.566905,5.9038,11.050159,-0.023554042,7.3179293,2.0651183,6.4012547,5.640975,4.0341997,7.6588078,1.8238214,7.414419,10.662136,4.137567,-2.337434
kishore_kumar_13-MFCC.csv,6.648584,7.3732796,6.3748116,10.085798,5.769049,11.362731,0.24108176,7.3013234,2.148284,6.2638364,5.908321,4.2882333,7.259234,2.241675,6.950989,10.619042,4.197813,-2.1571624
kishore_kumar_14-MFCC.csv,6.584757,7.5269365,6.69062,10.468896,5.6375384,11.025547,0.22187728,7.333825,2.057861,6.486047,5.4387755,3.8759506,7.4144096,1.7002355,7.279059,10.492367,3.9898524,-1.9731101
kishore_kumar_15-MFCC.csv,6.8905754,7.5525846,5.6420236,9.896249,6.4012704,11.780061,0.25156927,7.3513994,2.1062415,6.2191925,6.4105406,4.7424216,7.574792,2.9597466,6.7363915,10.698449,4.3048973,-2.5470228
kishore_kumar_16-MFCC.csv,7.0316305,7.7185082,5.4095287,9.822124,6.7098594,11.745277,0.3993426,7.4873824,2.1646733,6.3583055,6.7204,5.0127745,7.6274037,3.1823776,6.601187,10.63951,4.550149,-2.5934656
kishore_kumar_17-MFCC.csv,6.816603,7.500143,6.314161,10.269262,5.8324413,11.394134,-0.038960524,7.2559195,2.054194,6.2203546,5.8158784,4.1788707,7.34476,1.9834414,7.206616,10.6256485,4.172291,-2.1851897
kishore_kumar_18-MFCC.csv,6.9173203,7.7246695,5.681918,10.112388,6.405477,11.431672,0.30544016,7.476977,2.1711931,6.4343066,6.2863703,4.597312,7.6602583,2.6394138,6.9385214,10.587043,4.4247746,-2.426545
