,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,cluster
29,13-MFCC.csv,7.8712196,4.574374,2.2137372,6.129862,9.24824,3.5427148,7.299632,6.025066,5.8928914,4.1209536,7.0310197,6.2039027,3.3942206,5.4209957,5.2353625,4.9207335,3.976953,4.3675184,3.0594962,5.7222095,2.763144,6.2038684,6.9036274,7.385595,5.995336,3
30,14-MFCC.csv,7.4617124,5.1946187,2.781943,6.182163,8.729091,3.9044108,6.933258,6.2364182,6.0498967,3.9301913,6.7539186,5.717371,3.313586,5.365397,5.5778694,4.495911,4.0763893,5.0141563,3.1801376,5.2086315,2.868053,5.6283293,6.81913,7.0931706,6.29462,1
31,15-MFCC.csv,7.358693,5.2629457,2.896414,6.03966,8.643249,3.8224664,6.855061,6.3771434,6.308438,4.179276,6.690796,5.499742,3.4335976,5.0770526,5.741219,4.4137855,4.2543116,5.067499,2.979674,5.636988,2.777884,5.874011,6.91523,6.9388037,6.2672486,5
32,16-MFCC.csv,7.2489634,5.7408204,4.3090224,6.6371784,7.343453,4.2830353,6.368131,7.441997,6.5270667,4.3946023,5.8748264,4.54755,3.0747373,4.3765044,6.395973,3.6071725,4.8309646,5.923485,2.374485,5.2533636,3.2730644,5.4092503,7.158005,6.093214,6.9651017,0
33,17-MFCC.csv,7.2523813,5.819063,4.364386,6.631065,7.3034687,4.244074,6.4090524,7.4182158,6.495645,4.333425,5.844456,4.420129,2.9698045,4.255436,6.3629365,3.4890542,4.79318,6.0373116,2.3826659,5.2553544,3.1932929,5.4426003,7.2068305,6.0647826,6.9753385,0
34,18-MFCC.csv,6.775421,5.385389,4.039777,6.464666,8.081586,3.3595445,5.80053,7.069302,7.1553116,5.1133623,6.2572618,4.7307634,2.4587195,4.532027,6.3892083,4.05888,5.016355,5.3212843,2.5958939,5.9940867,2.4357183,6.1255107,7.2900214,6.6669908,7.47329,4
35,19-MFCC.csv,7.5661626,5.3791356,2.3419824,6.1032195,8.806702,4.026496,7.1928625,6.3824935,6.30923,3.9357207,6.5765147,5.6956544,3.7004704,4.9856887,5.49044,4.437118,4.359101,4.841597,2.7299626,5.6557984,2.8575432,5.8164916,6.9589353,7.0475936,5.912002,2
36,20-MFCC.csv,7.593254,5.6122737,2.5408354,6.254224,8.331778,4.2895775,6.923578,6.6653876,6.267424,3.6685905,6.3172517,5.6121798,4.0338736,5.012778,5.871469,4.3293066,4.294671,5.2448215,2.945093,5.12807,3.3130682,5.408416,6.829262,6.8832107,6.143406,1
37,21-MFCC.csv,7.43455,5.2219343,2.8968167,6.1353617,8.574172,3.7994726,6.809958,6.3807783,6.305386,4.035188,6.588733,5.539904,3.0416932,5.114957,5.745809,4.4086223,4.235729,5.002298,3.1020122,5.2680244,2.8322654,5.76325,6.8740954,7.036855,6.52133,1
38,22-MFCC.csv,7.3723073,5.3169208,2.820624,6.087075,8.699752,3.9346628,6.9877105,6.285611,6.1964602,3.965113,6.671919,5.5348015,3.233329,5.0533323,5.5770564,4.354165,4.224445,5.0126863,3.0410082,5.362343,2.7462459,5.7257853,6.870094,7.045749,6.289136,1
